ID_INDICADOR;CODG_UND_MED;VLR_VAR;CODG_UND_FED;DESC_UND_FED;CODG_VAR;CODG_ANO;CODG_CLAS_PERC_REND_DOM_PER_CAP;DESC_CLAS_PERC_REND_DOM_PER_CAP
Indicador  4.2.1.4;2;93.6;28;Sergipe;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;28;Sergipe;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.2;28;Sergipe;9310;2017;49243;Total
Indicador  4.2.1.4;2;93.8;28;Sergipe;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;28;Sergipe;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;97.3;28;Sergipe;9310;2018;49243;Total
Indicador  4.2.1.4;2;96.7;28;Sergipe;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;28;Sergipe;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.2;28;Sergipe;9310;2019;49243;Total
Indicador  4.2.1.4;2;93.4;29;Bahia;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;100.0;29;Bahia;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;94.5;29;Bahia;9310;2016;49243;Total
Indicador  4.2.1.4;2;95.7;29;Bahia;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;29;Bahia;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;98.1;29;Bahia;9310;2017;49243;Total
Indicador  4.2.1.4;2;99.2;29;Bahia;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;100.0;29;Bahia;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;99.0;29;Bahia;9310;2018;49243;Total
Indicador  4.2.1.4;2;99.8;29;Bahia;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;29;Bahia;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.7;29;Bahia;9310;2019;49243;Total
Indicador  4.2.1.4;2;96.0;31;Minas Gerais;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;96.1;31;Minas Gerais;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;96.7;31;Minas Gerais;9310;2016;49243;Total
Indicador  4.2.1.4;2;94.7;31;Minas Gerais;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;100.0;31;Minas Gerais;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.9;31;Minas Gerais;9310;2017;49243;Total
Indicador  4.2.1.4;2;96.2;31;Minas Gerais;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;97.1;31;Minas Gerais;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;96.5;31;Minas Gerais;9310;2018;49243;Total
Indicador  4.2.1.4;2;96.7;31;Minas Gerais;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;100.0;31;Minas Gerais;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.5;31;Minas Gerais;9310;2019;49243;Total
Indicador  4.2.1.4;2;96.8;32;Espírito Santo;9310;2016;58676;Até o P20
Indicador  4.2.1.4;2;92.3;32;Espírito Santo;9310;2016;58677;Maior que o P80
Indicador  4.2.1.4;2;96.7;32;Espírito Santo;9310;2016;49243;Total
Indicador  4.2.1.4;2;94.1;32;Espírito Santo;9310;2017;58676;Até o P20
Indicador  4.2.1.4;2;97.1;32;Espírito Santo;9310;2017;58677;Maior que o P80
Indicador  4.2.1.4;2;96.5;32;Espírito Santo;9310;2017;49243;Total
Indicador  4.2.1.4;2;97.2;32;Espírito Santo;9310;2018;58676;Até o P20
Indicador  4.2.1.4;2;95.3;32;Espírito Santo;9310;2018;58677;Maior que o P80
Indicador  4.2.1.4;2;97.0;32;Espírito Santo;9310;2018;49243;Total
Indicador  4.2.1.4;2;97.5;32;Espírito Santo;9310;2019;58676;Até o P20
Indicador  4.2.1.4;2;94.9;32;Espírito Santo;9310;2019;58677;Maior que o P80
Indicador  4.2.1.4;2;98.2;32;Espírito Santo;9310;2019;49243;Total
